Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,888,87,6
Arcanine,495,0,14
Ariados,750,56,6
Azumarill,580,18,0
Bayleef,785,64,6
Beedrill,691,43,6
Bellossom,674,39,6
Blastoise,324,0,6
Butterfree,767,60,6
Celebi,750,56,6
Charizard,571,16,14
Charmeleon,642,32,30
Chinchou,474,0,22
Cloyster,888,87,6
Corsola,275,0,22
Croconaw,377,0,6
Dewgong,400,0,22
Electabuzz,500,0,6
Electrode,504,1,6
Entei,571,16,38
Exeggcute,785,64,6
Exeggutor,696,44,6
Feraligatr,409,0,6
Flaaffy,888,87,6
Flareon,866,82,6
Forretress,866,82,6
Gloom,785,64,6
Golduck,531,7,0
Growlithe,696,44,6
Gyarados,487,0,14
Heracross,714,48,6
Ho-Oh,500,0,38
Houndoom,461,0,6
Ivysaur,584,19,6
Jolteon,500,0,6
Jumpluff,933,97,6
Kabuto,163,0,48
Kabutops,403,0,14
Kingdra,500,0,0
Kingler,589,20,6
Krabby,194,0,56
Lanturn,323,0,22
Lapras,393,0,6
Ledian,866,82,6
Magby,732,52,6
Magcargo,500,0,0
Magmar,687,42,6
Magnemite,500,0,6
Magneton,562,14,6
Mantine,343,0,22
Meganium,674,39,6
Moltres,866,82,6
Ninetales,471,0,46
Octillery,620,27,14
Oddish,785,64,6
Omanyte,154,0,48
Omastar,140,0,48
Parasect,736,53,6
Pineco,866,82,6
Pinsir,741,54,6
Politoed,126,0,56
Poliwhirl,364,0,6
Poliwrath,549,11,0
Ponyta,799,67,6
Quagsire,322,0,6
Quilava,580,18,30
Qwilfish,175,0,56
Raichu,517,4,6
Raikou,526,6,6
Rapidash,839,76,14
Scizor,683,41,6
Scyther,776,62,6
Seadra,575,17,22
Seaking,455,0,22
Slowbro,500,0,0
Slowking,531,7,0
Slowpoke,462,0,14
Starmie,665,37,6
Suicune,296,0,6
Sunflora,750,56,6
Tangela,625,28,6
Tentacruel,500,0,0
Typhlosion,517,4,14
Vaporeon,128,0,56
Venomoth,656,35,6
Venusaur,580,18,6
Victreebel,580,18,6
Vileplume,785,64,6
Wartortle,314,0,6
Weepinbell,750,56,6
Yanma,500,0,6
Zapdos,500,0,6
