Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,330,0,3
Arcanine,337,0,4
Ariados,813,74,18
Azumarill,381,0,29
Bayleef,477,0,39
Beedrill,622,29,11
Bellossom,496,0,32
Blastoise,480,0,1
Butterfree,809,73,11
Celebi,533,8,32
Charizard,622,29,3
Charmeleon,758,61,3
Chinchou,175,0,4
Cloyster,500,0,1
Corsola,377,0,0
Croconaw,504,1,1
Dewgong,412,0,8
Electabuzz,81,0,42
Electrode,93,0,49
Entei,741,57,3
Exeggcute,601,24,25
Exeggutor,796,70,4
Feraligatr,504,1,1
Flaaffy,174,0,4
Flareon,635,32,3
Forretress,456,0,22
Gloom,703,48,18
Golduck,529,7,1
Growlithe,758,61,3
Gyarados,392,0,25
Heracross,864,86,4
Ho-Oh,614,27,10
Houndoom,631,31,3
Ivysaur,492,0,25
Jolteon,90,0,42
Jumpluff,567,16,1
Kabuto,445,0,17
Kabutops,234,0,4
Kingdra,336,0,25
Kingler,699,47,39
Krabby,754,60,39
Lanturn,130,0,4
Lapras,393,0,8
Ledian,771,64,1
Magby,788,68,3
Magcargo,661,38,3
Magmar,779,66,3
Magnemite,82,0,49
Magneton,65,0,42
Mantine,436,0,15
Meganium,500,0,1
Moltres,661,38,3
Ninetales,533,8,31
Octillery,455,0,46
Oddish,762,62,4
Omanyte,407,0,17
Omastar,350,0,3
Parasect,847,82,4
Pineco,864,86,11
Pinsir,792,69,4
Politoed,563,15,15
Poliwhirl,750,59,8
Poliwrath,754,60,39
Ponyta,750,59,3
Quagsire,273,0,32
Quilava,762,62,3
Qwilfish,420,0,32
Raichu,81,0,42
Raikou,91,0,49
Rapidash,881,90,3
Scizor,593,22,1
Scyther,851,83,4
Seadra,400,0,32
Seaking,542,10,1
Slowbro,312,0,39
Slowking,312,0,39
Slowpoke,580,19,8
Starmie,435,0,39
Suicune,244,0,32
Sunflora,694,46,11
Tangela,601,24,18
Tentacruel,472,0,1
Typhlosion,648,35,3
Vaporeon,576,18,1
Venomoth,733,55,11
Venusaur,580,19,25
Victreebel,728,54,4
Vileplume,728,54,4
Wartortle,550,12,22
Weepinbell,728,54,4
Yanma,614,27,4
Zapdos,221,0,4
