Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,550,16,53
Arcanine,810,98,8
Ariados,848,110,8
Azumarill,541,13,26
Bayleef,313,0,13
Beedrill,740,76,8
Bellossom,340,0,4
Blastoise,509,3,7
Butterfree,835,106,8
Celebi,398,0,58
Charizard,756,81,8
Charmeleon,810,98,8
Chinchou,674,55,3
Cloyster,569,22,35
Corsola,712,67,3
Croconaw,598,31,3
Dewgong,512,4,3
Electabuzz,734,74,44
Electrode,515,5,3
Entei,905,128,8
Exeggcute,391,0,40
Exeggutor,453,0,4
Feraligatr,376,0,26
Flaaffy,645,46,3
Flareon,905,128,8
Forretress,376,0,12
Gloom,279,0,4
Golduck,500,0,3
Growlithe,787,91,8
Gyarados,607,34,26
Heracross,392,0,26
Ho-Oh,715,68,8
Houndoom,857,113,8
Ivysaur,333,0,8
Jolteon,699,63,26
Jumpluff,291,0,26
Kabuto,797,94,17
Kabutops,753,80,26
Kingdra,383,0,35
Kingler,699,63,17
Krabby,727,72,8
Lanturn,489,0,3
Lapras,500,0,3
Ledian,857,113,8
Magby,810,98,8
Magcargo,857,113,17
Magmar,778,88,8
Magnemite,750,79,8
Magneton,594,30,26
Mantine,556,18,3
Meganium,316,0,4
Moltres,905,128,8
Ninetales,746,78,26
Octillery,544,14,3
Oddish,340,0,4
Omanyte,617,37,44
Omastar,500,0,53
Parasect,475,0,35
Pineco,857,113,8
Pinsir,718,69,8
Politoed,528,9,3
Poliwhirl,553,17,3
Poliwrath,626,40,8
Ponyta,857,113,8
Quagsire,388,0,7
Quilava,857,113,8
Qwilfish,674,55,35
Raichu,759,82,44
Raikou,667,53,53
Rapidash,905,128,8
Scizor,500,0,53
Scyther,768,85,8
Seadra,462,0,44
Seaking,506,2,3
Slowbro,347,0,53
Slowking,347,0,53
Slowpoke,604,33,3
Starmie,475,0,44
Suicune,481,0,7
Sunflora,46,0,54
Tangela,399,0,4
Tentacruel,500,0,7
Typhlosion,674,55,8
Vaporeon,500,0,3
Venomoth,857,113,8
Venusaur,279,0,4
Victreebel,70,0,54
Vileplume,76,0,54
Wartortle,465,0,3
Weepinbell,88,0,54
Yanma,674,55,8
Zapdos,775,87,8
