Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,440,0,0
Arcanine,843,77,13
Ariados,452,0,13
Azumarill,500,0,0
Bayleef,350,0,9
Beedrill,496,0,22
Bellossom,256,0,31
Blastoise,825,73,4
Butterfree,767,60,4
Celebi,402,0,9
Charizard,839,76,5
Charmeleon,468,0,31
Chinchou,669,38,0
Cloyster,821,72,4
Corsola,700,45,4
Croconaw,825,73,4
Dewgong,575,17,40
Electabuzz,500,0,9
Electrode,303,0,40
Entei,489,0,31
Exeggcute,406,0,9
Exeggutor,341,0,13
Feraligatr,754,57,4
Flaaffy,500,0,8
Flareon,776,62,4
Forretress,558,13,0
Gloom,417,0,0
Golduck,825,73,4
Growlithe,642,32,4
Gyarados,803,68,5
Heracross,500,0,22
Ho-Oh,754,57,4
Houndoom,799,67,4
Ivysaur,250,0,4
Jolteon,544,10,0
Jumpluff,453,0,9
Kabuto,616,26,5
Kabutops,571,16,5
Kingdra,456,0,40
Kingler,705,46,5
Krabby,665,37,5
Lanturn,500,0,9
Lapras,549,11,31
Ledian,812,70,13
Magby,656,35,4
Magcargo,500,0,0
Magmar,781,63,4
Magnemite,580,18,0
Magneton,390,0,31
Mantine,843,77,14
Meganium,218,0,4
Moltres,821,72,5
Ninetales,402,0,31
Octillery,892,88,5
Oddish,349,0,40
Omanyte,607,24,4
Omastar,575,17,4
Parasect,304,0,40
Pineco,491,0,40
Pinsir,629,29,4
Politoed,647,33,4
Poliwhirl,638,31,4
Poliwrath,727,51,4
Ponyta,781,63,4
Quagsire,223,0,22
Quilava,480,0,40
Qwilfish,616,26,4
Raichu,500,0,9
Raikou,482,0,9
Rapidash,776,62,13
Scizor,629,29,4
Scyther,660,36,5
Seadra,803,68,5
Seaking,843,77,4
Slowbro,750,56,4
Slowking,750,56,4
Slowpoke,825,73,4
Starmie,866,82,5
Suicune,776,62,13
Sunflora,350,0,40
Tangela,271,0,4
Tentacruel,843,77,4
Typhlosion,477,0,4
Vaporeon,642,32,4
Venomoth,492,0,22
Venusaur,258,0,4
Victreebel,366,0,31
Vileplume,317,0,40
Wartortle,825,73,4
Weepinbell,371,0,31
Yanma,843,77,4
Zapdos,937,98,4
