Pokemon,Battle Rating,HP Remaining,Energy Remaining
Ampharos,938,107,11
Arcanine,495,0,38
Ariados,259,0,38
Azumarill,553,13,43
Bayleef,631,32,1
Beedrill,267,0,30
Bellossom,745,60,30
Blastoise,893,96,3
Butterfree,380,0,30
Celebi,569,17,22
Charizard,384,0,6
Charmeleon,376,0,6
Chinchou,860,88,3
Cloyster,754,62,3
Corsola,790,71,3
Croconaw,893,96,3
Dewgong,795,72,11
Electabuzz,823,79,3
Electrode,750,61,27
Entei,420,0,22
Exeggcute,500,0,14
Exeggutor,606,26,6
Feraligatr,893,96,3
Flaaffy,754,62,35
Flareon,655,38,22
Forretress,196,0,43
Gloom,366,0,46
Golduck,704,50,3
Growlithe,500,0,30
Gyarados,840,83,3
Heracross,419,0,6
Ho-Oh,348,0,22
Houndoom,549,12,22
Ivysaur,500,0,4
Jolteon,795,72,3
Jumpluff,696,48,4
Kabuto,692,47,3
Kabutops,639,34,3
Kingdra,672,42,35
Kingler,774,67,3
Krabby,799,73,3
Lanturn,893,96,3
Lapras,774,67,3
Ledian,540,10,12
Magby,500,0,6
Magcargo,455,0,35
Magmar,431,0,6
Magnemite,655,38,35
Magneton,428,0,19
Mantine,351,0,19
Meganium,586,21,54
Moltres,395,0,6
Ninetales,345,0,22
Octillery,913,101,3
Oddish,500,0,1
Omanyte,688,46,3
Omastar,659,39,3
Parasect,729,56,6
Pineco,618,29,1
Pinsir,500,0,30
Politoed,823,79,3
Poliwhirl,815,77,3
Poliwrath,725,55,3
Ponyta,450,0,22
Quagsire,913,101,3
Quilava,400,0,22
Qwilfish,893,96,3
Raichu,741,59,3
Raikou,745,60,3
Rapidash,495,0,46
Scizor,266,0,35
Scyther,394,0,6
Seadra,840,83,3
Seaking,856,87,3
Slowbro,672,42,3
Slowking,672,42,3
Slowpoke,721,54,3
Starmie,733,57,3
Suicune,786,70,3
Sunflora,959,112,6
Tangela,897,97,6
Tentacruel,429,0,35
Typhlosion,415,0,6
Vaporeon,799,73,3
Venomoth,240,0,6
Venusaur,500,0,1
Victreebel,452,0,30
Vileplume,524,6,1
Wartortle,893,96,3
Weepinbell,463,0,30
Yanma,392,0,6
Zapdos,540,10,54
